"zip","renter","hs_graduate","college_graduate","median_household_income"
"01351","0.1636029411764706","0.2980825101685067","0.21963974433468914","73051.0"
"01354","0.08971553610503283","0.24587588373919875","0.2498036135113904","73750.0"
"01355","","","","65682.0"
"01360","0.17160161507402422","0.25467497773820125","0.17898486197684774","63491.0"
"01364","0.2632803412175262","0.3767725722491474","0.09495602225812241","39273.0"
"01366","0.13150926743159752","","","63625.0"
"01367","","","","52875.0"
"01368","0.19076457229371688","","","57841.0"
"01370","0.26292770774376123","0.23346055979643765","0.23155216284987276","55076.0"
"01373","0.17606123869171886","0.21864458754983135","0.2333639987733824","67561.0"
"01375","0.525034965034965","0.13407304669440592","0.2575127138233934","47688.0"
"01376","0.44796557120500785","0.29316960859554875","0.1557943207981581","41864.0"
"01378","","","","55625.0"
"01379","","","","44750.0"
"01420","0.4357584730079839","0.3323004222024248","0.14172831854979276","48724.0"
"01430","0.07846127774953397","0.2601183431952663","0.2923076923076923","87615.0"
"01431","0.13462147608489072","0.37935656836461124","0.1483467381590706","82019.0"
"01432","0.31472826812658566","0.30650436046511625","0.21057412790697674","72048.0"
"01434","","0.35413533834586464","0.15789473684210525","77014.0"
"01436","0.16331658291457288","0.38926426426426425","0.07807807807807808","66113.0"
"01438","","","","61996.0"
"01440","0.4380252656060045","0.37333895802573297","0.10243971032834141","43818.0"
"01450","0.11290764593039189","0.13823096480663724","0.3693295865114412","116642.0"
"01451","0.06061890631623569","0.08338461538461539","0.3464615384615385","126667.0"
"01452","0.06780040277466995","0.3242533639645553","0.16015753199868724","81757.0"
"01453","0.39716013282450313","0.32116963886884514","0.1797752808988764","58946.0"
"01460","0.11438912042114499","0.1868377854051634","0.3351738546485599","111680.0"
"01462","0.2040983606557377","0.27355467247788745","0.22997051660043585","80572.0"
"01463","0.17812026275896917","0.28521303258145364","0.24536340852130326","80524.0"
"01464","0.29315315315315316","0.37963122522833015","0.1714630363605032","67896.0"
"01467","","","","183750.0"
"01468","0.0945179584120983","0.3903123903123903","0.11512811512811513","62292.0"
"01469","0.15099078984091543","0.3363119415109667","0.21872461413484973","79315.0"
"01473","0.10480172646344753","0.19684129429892142","0.27946841294298924","88902.0"
"01474","0.12844513780551223","0.30983733539891556","0.24167312161115415","96349.0"
"01475","0.23264430577223089","0.35694089134239937","0.12319913827925139","59661.0"
"01501","0.11486060300239687","0.31311988863755","0.22803201670436749","73070.0"
"01503","0.11766712141882674","0.2391304347826087","0.2966485507246377","88816.0"
"01504","0.22512912643161914","0.33908329226219813","0.19073435189748644","73679.0"
"01505","0.08057521113900935","0.174294670846395","0.32539184952978056","102905.0"
"01506","0.18311138014527845","0.35602094240837695","0.21949254933548126","63920.0"
"01507","0.12724180581323438","0.3218982902235861","0.20670758439281017","87294.0"
"01510","0.43429876925344535","0.29648292883587","0.23087206910736321","62805.0"
"01515","0.1837763519706691","0.3894802755165936","0.2298058860363181","72375.0"
"01516","0.15620641562064155","0.27406874212704696","0.26956991182292606","84985.0"
