"zip","renter","mortgage","hs_graduate","college_graduate","median_income","household_size"
"01096","0.1076051779935275","","0.3042529989094875","0.2268266085059978","","2.51"
"01097","","","","","2499.0","3.1"
"01098","0.07508833922261485","","","","","2.24"
"01103","0.9354317998385795","","0.12425328554360812","0.08303464755077658","","1.78"
"01104","0.516933968448193","0.6939071566731141","0.36852039096730704","0.08574317492416582","","2.65"
"01105","0.8796698908510072","","0.3318142979208203","0.048988892053546","11328.0","2.36"
"01106","0.07273442107332416","0.671687910390112","0.12304900181488203","0.2828493647912886","","2.66"
"01107","0.7479607735312986","","0.22900997697620876","0.06032233307751343","","2.82"
"01108","0.6218481135237811","0.770656779661017","0.28466790813159526","0.11042830540037243","20165.0","2.8"
"01109","0.5269886886997531","0.7464757216379503","0.36955828924724327","0.09516221556504557","","2.93"
"01118","0.25617786589251573","0.7044553300676464","0.27884903586771903","0.1876311319812169","","2.58"
"01119","0.2380681356207822","0.680780863348914","0.29729090263811664","0.12812019401395955","","2.62"
"01128","0.05430788076766027","","0.34592552617377226","0.17539125742039935","29096.0","2.51"
"01129","0.21174694661726362","0.7450896669513236","0.2913247362250879","0.13130128956623682","","2.5"
"01151","0.6362519544337726","0.5881895881895882","0.3489603024574669","0.09735349716446125","","2.73"
"01199","","","","","",""
"01201","0.3599706912737847","0.6539117718742383","0.33056972789115646","0.15664480077745385","","2.22"
"01220","0.27974897417330435","0.7018224117875146","0.41804635761589404","0.15711920529801324","27313.0","2.18"
"01222","","","","","35423.0","2.35"
"01223","0.08038444735692442","","0.3264440911499735","0.17064122946475888","","2.25"
"01224","","","","","34583.0","1.79"
"01225","0.14029947916666666","0.6236749116607774","0.4026643747314138","0.13149978513107005","29890.0","2.27"
"01226","0.17267888823181549","0.6767494356659142","0.3175270108043217","0.18647458983593437","","2.39"
"01229","","","","","","1.87"
"01230","0.25846372688477953","0.5816681146828845","0.28302854212955053","0.2148350709280465","27511.0","2.14"
"01235","0.10612959719789843","0.6842601319509897","0.3812180381218038","0.19572291957229196","32963.0","2.36"
"01236","0.20040485829959515","","0.19090009891196835","0.2413452027695351","25851.0","2.86"
"01237","0.0892663534513914","","0.34963579604578565","0.16701352757544224","","2.91"
"01238","0.20595403899721448","0.6774017467248908","0.25597115817936006","0.23862100045065346","30411.0","2.31"
"01240","0.26834969611968207","0.5470914127423823","0.21574670776127766","0.23423928271224434","","1.86"
"01242","","","","","27940.0","2.7"
"01243","","","","","37833.0","2.11"
"01244","","","","","","1.83"
"01245","","","","","","2.19"
"01247","0.3921054447588158","0.6142396427685438","0.35920659360565166","0.14265012227153337","","2.08"
"01253","","","","","","2.34"
"01254","","","","","","2.14"
"01255","","","","","31648.0","2.26"
"01256","","","","","30265.0","2.36"
"01257","0.13630105553005967","","0.31791221826809013","0.17141162514827996","26284.0","2.31"
"01258","","","","","31875.0","1.87"
"01259","","","","","","2.17"
"01260","","","","","25000.0","3.37"
"01262","0.35816618911174786","","","","","1.82"
"01264","","","","","29375.0","1.86"
"01266","0.1001410437235543","","0.18365553602811951","0.25746924428822493","","2.16"
"01267","0.21062839410395656","0.578012215435869","0.16882804995196926","0.2478386167146974","15950.0","2.19"
"01270","","","","","37500.0","2.5"
"01301","0.3696269982238011","0.6719235895157708","0.28534211937782544","0.16504482415140603","","2.18"
"01330","0.14385964912280702","","0.23217550274223034","0.26691042047531993","","2.3"
"01331","0.21816651362105907","0.6776817488561261","0.3916240409207161","0.12052429667519182","","2.46"
"01337","0.1556420233463035","","0.3351898734177215","0.17721518987341772","30804.0","2.31"
"01338","","","","","","2.48"
"01339","0.1970260223048327","","0.31589147286821706","0.1569767441860465","","2.27"
"01340","0.2473246135552913","","0.3328149300155521","0.13763608087091758","25219.0","2.35"
"01341","0.06803519061583578","","0.15776892430278885","0.2645418326693227","36168.0","2.48"
"01342","0.533587786259542","","0.1116111611161116","0.3069306930693069","","2.71"
"01343","","","","","80313.0","1.7"
"01344","0.1988454137267479","","0.4159928122192273","0.12578616352201258","30278.0","2.49"
"01346","","","","","","2.36"
"01347","","","","","21417.0","2.17"
"01349","0.06697674418604652","","","","26408.0","2.42"
"01350","","","","","26875.0","2.08"
"01351","0.1636029411764706","","0.2980825101685067","0.21963974433468914","33470.0","2.35"
"01354","0.08971553610503283","","0.24587588373919875","0.2498036135113904","","2.44"
"01355","","","","","","2.21"
"01360","0.17160161507402422","","0.25467497773820125","0.17898486197684774","","2.43"
"01364","0.2632803412175262","0.6178681999115435","0.3767725722491474","0.09495602225812241","","2.37"
"01366","0.13150926743159752","","","","29901.0","2.29"
"01367","","","","","","2.7"
"01368","0.19076457229371688","","","","","2.59"
"01370","0.26292770774376123","0.5929941618015012","0.23346055979643765","0.23155216284987276","","2.22"
"01373","0.17606123869171886","0.6329787234042553","0.21864458754983135","0.2333639987733824","","2.27"
"01375","0.525034965034965","","0.13407304669440592","0.2575127138233934","","2.37"
